instances,sequence,distances (m),time (ns),num_dests
ds_1004_courier_1656,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",25474.435546875,6003500,10
ds_1010_courier_87,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",11509.3203125,4626600,10
ds_1015_courier_1558,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",180.58697509765625,3999100,10
ds_1016_courier_1558,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",1319.44970703125,4994000,10
ds_524_courier_2208,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",8188.5908203125,4008300,10
ds_524_courier_3156,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",12783.841796875,3991500,10
ds_527_courier_2208,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",10734.693359375,4993300,10
ds_530_courier_2208,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",6973.9345703125,3998000,10
ds_531_courier_1103,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",20553.900390625,3993300,10
ds_603_courier_152,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",10999.908203125,3988900,10
ds_603_courier_3458,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",50016.140625,3999900,10
ds_603_courier_3559,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",10279.556640625,5000300,10
ds_604_courier_152,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",11240.8935546875,4217700,10
ds_604_courier_1756,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",14245.169921875,4160600,10
ds_604_courier_2208,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",8101.35791015625,4557600,10
ds_607_courier_435,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",13772.494140625,5003100,10
ds_616_courier_2925,"[0, 10, 8, 3, 4, 6, 2, 9, 5, 1, 7, 0]",16040.42578125,4998600,10
