instance,sequence,distance (m),time (ns),num_dests
ds_1004_courier_1656,"[0, 6, 2, 1, 3, 8, 10, 5, 4, 7, 9, 0]",13175.950860895264,0,10
ds_1010_courier_87,"[0, 8, 5, 4, 6, 3, 1, 2, 7, 10, 9, 0]",6713.723326171119,0,10
ds_1015_courier_1558,"[0, 1, 10, 8, 4, 6, 2, 5, 3, 7, 9, 0]",154.02503063394,0,10
ds_1016_courier_1558,"[0, 1, 6, 8, 3, 4, 5, 2, 9, 7, 10, 0]",1261.6534282567184,0,10
ds_524_courier_2208,"[0, 9, 3, 6, 5, 4, 1, 7, 2, 8, 10, 0]",6636.28781110128,0,10
ds_524_courier_3156,"[0, 10, 1, 2, 3, 4, 5, 8, 9, 7, 6, 0]",9954.196273634241,0,10
ds_527_courier_2208,"[0, 8, 6, 9, 1, 4, 5, 2, 3, 7, 10, 0]",6077.173981695263,0,10
ds_530_courier_2208,"[0, 9, 10, 2, 7, 8, 1, 6, 3, 5, 4, 0]",5317.766010694264,0,10
ds_531_courier_1103,"[0, 8, 3, 10, 9, 6, 5, 7, 4, 2, 1, 0]",10123.920663668961,0,10
ds_603_courier_152,"[0, 10, 2, 7, 6, 5, 4, 8, 3, 1, 9, 0]",9252.441550263662,0,10
ds_603_courier_3458,"[0, 10, 7, 6, 8, 5, 4, 3, 1, 2, 9, 0]",31283.514106313076,0,10
ds_603_courier_3559,"[0, 7, 10, 5, 8, 6, 1, 2, 9, 3, 4, 0]",8660.623403821508,0,10
ds_604_courier_152,"[0, 3, 6, 8, 9, 4, 2, 1, 10, 7, 5, 0]",8623.049952848922,0,10
ds_604_courier_1756,"[0, 6, 3, 4, 5, 10, 7, 8, 1, 2, 9, 0]",10887.175072505377,0,10
ds_604_courier_2208,"[0, 4, 6, 5, 8, 10, 9, 7, 1, 2, 3, 0]",4918.614231945126,0,10
ds_607_courier_435,"[0, 6, 9, 8, 4, 2, 7, 5, 3, 1, 10, 0]",9371.926060036232,0,10
ds_616_courier_2925,"[0, 3, 9, 5, 8, 1, 2, 6, 10, 4, 7, 0]",10268.110698351964,0,10
ds_617_courier_1087,"[0, 9, 10, 8, 3, 1, 2, 6, 7, 5, 4, 0]",6956.579967522815,0,10
ds_618_courier_1177,"[0, 9, 6, 7, 8, 3, 4, 5, 2, 1, 10, 0]",10975.512743859621,0,10
ds_619_courier_1756,"[0, 4, 1, 7, 3, 10, 2, 6, 5, 9, 8, 0]",5462.214338723152,0,10
ds_619_courier_2688,"[0, 1, 2, 10, 3, 4, 5, 8, 9, 7, 6, 0]",10590.689609730889,0,10
ds_619_courier_854,"[0, 9, 10, 8, 1, 3, 4, 7, 5, 2, 6, 0]",14389.741513641999,0,10
ds_627_courier_487,"[0, 7, 10, 8, 9, 6, 5, 2, 4, 3, 1, 0]",14400.116258851724,0,10
ds_708_courier_1656,"[0, 6, 7, 8, 2, 1, 4, 3, 9, 5, 10, 0]",25944.79168838662,0,10
ds_708_courier_3156,"[0, 10, 6, 3, 7, 4, 2, 5, 8, 9, 1, 0]",10154.819033016422,0,10
ds_709_courier_1656,"[0, 1, 4, 3, 6, 2, 7, 10, 8, 5, 9, 0]",20557.517559251515,0,10
ds_711_courier_4474,"[0, 3, 4, 5, 1, 9, 2, 7, 6, 8, 10, 0]",6415.184267099592,0,10
ds_712_courier_2688,"[0, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]",11537.246100124554,0,10
ds_713_courier_435,"[0, 1, 2, 9, 8, 6, 3, 5, 10, 7, 4, 0]",6054.676756310564,0,10
ds_715_courier_487,"[0, 7, 6, 5, 3, 4, 10, 2, 1, 8, 9, 0]",13422.542515511985,1000800,10
ds_716_courier_3156,"[0, 6, 7, 9, 1, 3, 8, 4, 10, 2, 5, 0]",8720.224962472186,0,10
ds_719_courier_2925,"[0, 4, 9, 1, 5, 10, 6, 7, 3, 8, 2, 0]",10103.338766297384,0,10
ds_721_courier_949,"[0, 4, 5, 3, 2, 10, 9, 8, 7, 1, 6, 0]",9802.195281891785,0,10
ds_722_courier_487,"[0, 8, 10, 9, 1, 2, 4, 3, 5, 6, 7, 0]",14964.033924098618,0,10
ds_726_courier_487,"[0, 10, 6, 7, 8, 4, 5, 2, 3, 1, 9, 0]",17773.45279991511,0,10
ds_727_courier_3156,"[0, 7, 3, 10, 8, 5, 9, 2, 4, 1, 6, 0]",8771.64619305191,0,10
ds_801_courier_1656,"[0, 9, 5, 1, 4, 3, 6, 10, 2, 7, 8, 0]",17515.95498818908,0,10
ds_803_courier_1656,"[0, 4, 7, 6, 3, 9, 10, 5, 1, 8, 2, 0]",11992.971463719081,0,10
ds_806_courier_1656,"[0, 2, 3, 1, 4, 8, 10, 7, 5, 6, 9, 0]",14776.375275850107,0,10
ds_806_courier_435,"[0, 10, 1, 8, 6, 7, 9, 4, 3, 2, 5, 0]",5666.122126337871,0,10
