instance,sequence,distance (m),time (ns),num_dests
ds_1002_courier_218,"[0, 1, 0]",7438.872931336514,1001600,1
ds_1002_courier_967,"[0, 1, 0]",25531.31726272752,1000400,1
ds_1003_courier_218,"[0, 1, 0]",51.357484715009626,1000100,1
ds_1005_courier_218,"[0, 1, 0]",44.87142912848038,999500,1
ds_1007_courier_218,"[0, 1, 0]",33.86524917170478,1000500,1
ds_1007_courier_3030,"[0, 1, 0]",1677.1433575291105,999700,1
ds_1008_courier_967,"[0, 1, 0]",25567.48380127926,1000100,1
ds_1014_courier_3030,"[0, 1, 0]",1929.192953360777,1000100,1
ds_1015_courier_218,"[0, 1, 0]",8016.22483800988,1000000,1
ds_1019_courier_1520,"[0, 1, 0]",3544.0023782122057,999900,1
ds_1020_courier_1558,"[0, 1, 0]",55.303142029029445,0,1
ds_1021_courier_3030,"[0, 1, 0]",1915.8113343264204,0,1
ds_1021_courier_87,"[0, 1, 0]",3283.670357517017,0,1
ds_1022_courier_1656,"[0, 1, 0]",90.29775327527632,1506400,1
ds_1022_courier_87,"[0, 1, 0]",2837.5718190455755,1005700,1
ds_1026_courier_1656,"[0, 1, 0]",69.70737560629858,999700,1
ds_1028_courier_1656,"[0, 1, 0]",76.28505032724557,0,1
ds_513_courier_2709,"[0, 1, 0]",1597.8418708625966,0,1
ds_513_courier_318,"[0, 1, 0]",13088.94178152228,0,1
ds_513_courier_75,"[0, 1, 0]",1228.572722394016,999900,1
ds_513_courier_949,"[0, 1, 0]",4053.228010653007,1001300,1
ds_514_courier_1103,"[0, 1, 0]",8603.709923566863,999100,1
ds_514_courier_1656,"[0, 1, 0]",10793.982544524102,999800,1
ds_514_courier_2709,"[0, 1, 0]",3057.2119402466824,1003000,1
ds_514_courier_4849,"[0, 1, 0]",5489.122801789518,998500,1
ds_514_courier_588,"[0, 1, 0]",10109.135766870271,1000400,1
ds_514_courier_949,"[0, 1, 0]",6463.003150832163,997900,1
ds_515_courier_2688,"[0, 1, 0]",3842.7958626530494,1003600,1
ds_515_courier_949,"[0, 1, 0]",95.78650631764555,0,1
ds_516_courier_2709,"[0, 1, 0]",2441.7458394977884,0,1
ds_516_courier_3156,"[0, 1, 0]",6987.614241128942,0,1
ds_518_courier_487,"[0, 1, 0]",7463.6446754397975,0,1
ds_519_courier_2709,"[0, 1, 0]",1094.642784260378,999100,1
ds_519_courier_3458,"[0, 1, 0]",2890.2932859782322,999600,1
ds_519_courier_487,"[0, 1, 0]",5845.187677692231,1005600,1
ds_520_courier_1103,"[0, 1, 0]",8390.861654523413,0,1
ds_521_courier_1103,"[0, 1, 0]",8362.745977272349,0,1
ds_522_courier_1103,"[0, 1, 0]",1106.6325887108853,0,1
ds_522_courier_2709,"[0, 1, 0]",3074.249320680289,0,1
ds_522_courier_949,"[0, 1, 0]",271.5396332300728,998700,1
ds_523_courier_1103,"[0, 1, 0]",8639.266413814246,1003200,1
ds_523_courier_1656,"[0, 1, 0]",7025.533900275638,1000500,1
ds_524_courier_1103,"[0, 1, 0]",401.78230079347713,997400,1
ds_524_courier_2709,"[0, 1, 0]",2938.5192661142282,998900,1
ds_524_courier_979,"[0, 1, 0]",2371.1978042705928,999800,1
ds_525_courier_2688,"[0, 1, 0]",6544.05280019899,1000000,1
ds_525_courier_2709,"[0, 1, 0]",5386.086394885002,0,1
ds_525_courier_3156,"[0, 1, 0]",6037.037517306873,0,1
ds_525_courier_487,"[0, 1, 0]",5634.141297760158,997300,1
ds_526_courier_487,"[0, 1, 0]",7528.649818351058,999000,1
ds_526_courier_75,"[0, 1, 0]",760.7394658237446,999900,1
ds_526_courier_979,"[0, 1, 0]",2367.0558057797475,1001500,1
ds_527_courier_3853,"[0, 1, 0]",267.9796457593789,0,1
ds_527_courier_487,"[0, 1, 0]",7533.693496976598,0,1
ds_528_courier_3156,"[0, 1, 0]",6454.311035210514,0,1
ds_528_courier_3458,"[0, 1, 0]",3437.6092806760803,1000100,1
ds_529_courier_3156,"[0, 1, 0]",6165.630396492326,999900,1
ds_530_courier_1558,"[0, 1, 0]",84.59622706145058,1000000,1
ds_530_courier_2925,"[0, 1, 0]",6446.0082708868085,1001800,1
